Timestamp,Causa,Emoción ,Género ,Edad,Protagonismo,Narrativa,Personaje,Reacción social,Responsabilidad Atribuida,Duración,Notas
0:14:59,Perdida o dolor psicológico,Miedo,Femenino,10,Protagonista,Inicio,Chihiro,Palabras de confort / brazos reconfortantes,Familiar/pariente,18,"Esta arrodillada llorando y la encuentra el chico, no lágrimas visibles"
0:43:00,Dolor físico y psicológico,Desesperanza,Femenino,10,Protagonista,Desarrollo,Chihiro,Palabras de confort / brazos reconfortantes,El mismo,18,"Arrodillada en el trabajo, dice que esta mareada"
0:48:10,Sufrimiento ajeno,Tristeza,Femenino,10,Protagonista,Desarrollo,Chihiro,No aplica,Familiar/pariente,9,Ve a los papás convertidos en cerdos y les promete que los ayudara
0:49:46,Dolor psicológico,Tristeza,Femenino,10,Protagonista,Desarrollo,Chihiro,Palabras de confort,Extraños,44,"Llora mientras come, literal lagrimas Ghibli de verdad"
1:21:28,Dolor psicológico,Malestar,Masculino,Bebé,Incidental,Desarrollo,Bebé,Ignorado,Extraños,8,"Chihiro le muestra sangre al bebé, se repite en 1:22:50"
1:50:50,Dolor psicológico,Preocupación,Femenino,10,Protagonista,Clímax,Chihiro,Amistoso/cálido,Conocidos,7.67,"Llora con la gemela de la señora, breve"
1:54:26,Evento positivo,Epifanía,Femenino,10,Protagonista,Final,Chihiro,Amistoso/cálido,Destino/fuerzas,30,Chihiro recuerda el nombre real de Haku
